frequency_MHz,psd_dB
2407.1523,-26.34
2407.1621,-26.42
2407.1719,-26.49
2407.1816,-26.56
2407.1914,-26.64
2407.2012,-26.57
2407.2109,-26.50
2407.2207,-26.39
2407.2305,-26.28
2407.2402,-26.10
2407.2500,-25.92
2407.2598,-25.67
2407.2695,-25.42
2407.2793,-25.40
2407.2891,-25.39
2407.2988,-25.34
2407.3086,-25.29
2407.3184,-25.30
2407.3281,-25.31
2407.3379,-25.41
2407.3477,-25.51
2407.3574,-25.62
2407.3672,-25.72
2407.3770,-25.82
2407.3867,-25.91
2407.3965,-26.15
2407.4062,-26.40
2407.4160,-26.49
2407.4258,-26.59
2407.4355,-26.85
2407.4453,-27.11
2407.4551,-27.39
2407.4648,-27.66
2407.4746,-27.85
2407.4844,-28.03
2407.4941,-28.18
2407.5039,-28.32
2407.5137,-28.35
2407.5234,-28.38
2407.5332,-28.34
2407.5430,-28.30
2407.5527,-28.08
2407.5625,-27.86
2407.5723,-27.89
2407.5820,-27.91
2407.5918,-27.89
2407.6016,-27.86
2407.6113,-27.76
2407.6211,-27.66
2407.6309,-27.55
2407.6406,-27.45
2407.6504,-27.43
2407.6602,-27.41
2407.6699,-27.55
2407.6797,-27.68
2407.6895,-27.83
2407.6992,-27.98
2407.7090,-27.86
2407.7188,-27.73
2407.7285,-27.89
2407.7383,-28.05
2407.7480,-28.19
2407.7578,-28.33
2407.7676,-28.27
2407.7773,-28.20
2407.7871,-28.17
2407.7969,-28.13
2407.8066,-28.03
2407.8164,-27.94
2407.8262,-27.93
2407.8359,-27.92
2407.8457,-27.75
2407.8555,-27.59
2407.8652,-27.47
2407.8750,-27.35
2407.8848,-27.54
2407.8945,-27.74
2407.9043,-27.66
2407.9141,-27.57
2407.9238,-27.30
2407.9336,-27.02
2407.9434,-26.99
2407.9531,-26.96
2407.9629,-27.02
2407.9727,-27.08
2407.9824,-27.16
2407.9922,-27.23
2408.0020,-27.14
2408.0117,-27.05
2408.0215,-26.90
2408.0312,-26.75
2408.0410,-26.60
2408.0508,-26.45
2408.0605,-26.47
2408.0703,-26.48
2408.0801,-26.47
2408.0898,-26.46
2408.0996,-26.19
2408.1094,-25.92
2408.1191,-25.59
2408.1289,-25.26
2408.1387,-25.24
2408.1484,-25.22
2408.1582,-25.07
2408.1680,-24.93
2408.1777,-24.90
2408.1875,-24.86
2408.1973,-24.80
2408.2070,-24.73
2408.2168,-24.70
2408.2266,-24.67
2408.2363,-24.70
2408.2461,-24.73
2408.2559,-24.57
2408.2656,-24.40
2408.2754,-24.58
2408.2852,-24.76
2408.2949,-24.83
2408.3047,-24.89
2408.3145,-24.82
2408.3242,-24.74
2408.3340,-24.69
2408.3438,-24.65
2408.3535,-24.65
2408.3633,-24.65
2408.3730,-24.70
2408.3828,-24.75
2408.3926,-24.76
2408.4023,-24.78
2408.4121,-24.49
2408.4219,-24.21
2408.4316,-24.07
2408.4414,-23.93
2408.4512,-23.90
2408.4609,-23.86
2408.4707,-23.72
2408.4805,-23.58
2408.4902,-23.47
2408.5000,-23.35
2408.5098,-23.15
2408.5195,-22.95
2408.5293,-22.94
2408.5391,-22.93
2408.5488,-22.85
2408.5586,-22.78
2408.5684,-22.90
2408.5781,-23.02
2408.5879,-23.05
2408.5977,-23.09
2408.6074,-23.17
2408.6172,-23.24
2408.6270,-23.31
2408.6367,-23.38
2408.6465,-23.43
2408.6562,-23.47
2408.6660,-23.61
2408.6758,-23.74
2408.6855,-23.80
2408.6953,-23.86
2408.7051,-23.69
2408.7148,-23.51
2408.7246,-23.43
2408.7344,-23.34
2408.7441,-23.27
2408.7539,-23.19
2408.7637,-22.98
2408.7734,-22.76
2408.7832,-22.63
2408.7930,-22.49
2408.8027,-22.27
2408.8125,-22.06
2408.8223,-21.91
2408.8320,-21.76
2408.8418,-21.66
2408.8516,-21.56
2408.8613,-21.45
2408.8711,-21.34
2408.8809,-21.49
2408.8906,-21.64
2408.9004,-21.75
2408.9102,-21.86
2408.9199,-21.86
2408.9297,-21.87
2408.9395,-21.88
2408.9492,-21.89
2408.9590,-22.03
2408.9688,-22.17
2408.9785,-22.36
2408.9883,-22.56
2408.9980,-22.58
2409.0078,-22.59
2409.0176,-22.47
2409.0273,-22.35
2409.0371,-22.26
2409.0469,-22.16
2409.0566,-22.11
2409.0664,-22.05
2409.0762,-22.05
2409.0859,-22.05
2409.0957,-21.86
2409.1055,-21.68
2409.1152,-21.40
2409.1250,-21.12
2409.1348,-21.10
2409.1445,-21.08
2409.1543,-20.96
2409.1641,-20.84
2409.1738,-20.76
2409.1836,-20.67
2409.1934,-20.77
2409.2031,-20.88
2409.2129,-20.99
2409.2227,-21.10
2409.2324,-21.21
2409.2422,-21.32
2409.2520,-21.28
2409.2617,-21.24
2409.2715,-21.39
2409.2812,-21.53
2409.2910,-21.74
2409.3008,-21.94
2409.3105,-21.87
2409.3203,-21.81
2409.3301,-21.83
2409.3398,-21.86
2409.3496,-21.92
2409.3594,-21.99
2409.3691,-21.99
2409.3789,-21.99
2409.3887,-21.98
2409.3984,-21.98
2409.4082,-21.86
2409.4180,-21.74
2409.4277,-21.57
2409.4375,-21.40
2409.4473,-21.46
2409.4570,-21.53
2409.4668,-21.44
2409.4766,-21.35
2409.4863,-21.36
2409.4961,-21.38
2409.5059,-21.37
2409.5156,-21.36
2409.5254,-21.38
2409.5352,-21.40
2409.5449,-21.37
2409.5547,-21.33
2409.5645,-21.51
2409.5742,-21.69
2409.5840,-21.91
2409.5938,-22.12
2409.6035,-22.14
2409.6133,-22.16
2409.6230,-22.22
2409.6328,-22.29
2409.6426,-22.29
2409.6523,-22.30
2409.6621,-22.39
2409.6719,-22.47
2409.6816,-22.63
2409.6914,-22.79
2409.7012,-22.66
2409.7109,-22.53
2409.7207,-22.40
2409.7305,-22.28
2409.7402,-22.43
2409.7500,-22.58
2409.7598,-22.46
2409.7695,-22.34
2409.7793,-22.23
2409.7891,-22.13
2409.7988,-22.05
2409.8086,-21.98
2409.8184,-21.95
2409.8281,-21.91
2409.8379,-21.97
2409.8477,-22.03
2409.8574,-21.91
2409.8672,-21.80
2409.8770,-22.05
2409.8867,-22.30
2409.8965,-22.42
2409.9062,-22.55
2409.9160,-22.44
2409.9258,-22.34
2409.9355,-22.25
2409.9453,-22.17
2409.9551,-22.24
2409.9648,-22.32
2409.9746,-22.45
2409.9844,-22.59
2409.9941,-22.62
2410.0039,-22.65
2410.0137,-22.49
2410.0234,-22.32
2410.0332,-22.21
2410.0430,-22.09
2410.0527,-22.07
2410.0625,-22.06
2410.0723,-22.21
2410.0820,-22.36
2410.0918,-22.30
2410.1016,-22.24
2410.1113,-21.89
2410.1211,-21.53
2410.1309,-21.63
2410.1406,-21.72
2410.1504,-21.72
2410.1602,-21.72
2410.1699,-21.69
2410.1797,-21.66
2410.1895,-21.72
2410.1992,-21.78
2410.2090,-21.80
2410.2188,-21.81
2410.2285,-21.91
2410.2383,-22.01
2410.2480,-21.84
2410.2578,-21.67
2410.2676,-21.64
2410.2773,-21.60
2410.2871,-21.83
2410.2969,-22.06
2410.3066,-21.90
2410.3164,-21.73
2410.3262,-21.61
2410.3359,-21.50
2410.3457,-21.51
2410.3555,-21.52
2410.3652,-21.59
2410.3750,-21.67
2410.3848,-21.79
2410.3945,-21.91
2410.4043,-21.87
2410.4141,-21.83
2410.4238,-21.61
2410.4336,-21.40
2410.4434,-21.61
2410.4531,-21.83
2410.4629,-21.89
2410.4727,-21.96
2410.4824,-22.05
2410.4922,-22.15
2410.5020,-22.13
2410.5117,-22.10
2410.5215,-22.14
2410.5312,-22.18
2410.5410,-22.02
2410.5508,-21.86
2410.5605,-21.86
2410.5703,-21.87
2410.5801,-22.03
2410.5898,-22.19
2410.5996,-22.04
2410.6094,-21.89
2410.6191,-21.78
2410.6289,-21.66
2410.6387,-21.57
2410.6484,-21.48
2410.6582,-21.48
2410.6680,-21.47
2410.6777,-21.51
2410.6875,-21.55
2410.6973,-21.37
2410.7070,-21.18
2410.7168,-21.02
2410.7266,-20.86
2410.7363,-21.05
2410.7461,-21.24
2410.7559,-21.30
2410.7656,-21.36
2410.7754,-21.37
2410.7852,-21.38
2410.7949,-21.37
2410.8047,-21.37
2410.8145,-21.33
2410.8242,-21.29
2410.8340,-21.38
2410.8438,-21.46
2410.8535,-21.32
2410.8633,-21.18
2410.8730,-21.31
2410.8828,-21.44
2410.8926,-21.50
2410.9023,-21.56
2410.9121,-21.35
2410.9219,-21.13
2410.9316,-20.87
2410.9414,-20.61
2410.9512,-20.56
2410.9609,-20.51
2410.9707,-20.88
2410.9805,-21.26
2410.9902,-23.20
2411.0000,-25.14
2411.0098,-22.92
2411.0195,-20.70
2411.0293,-20.25
2411.0391,-19.81
2411.0488,-19.74
2411.0586,-19.68
2411.0684,-19.85
2411.0781,-20.02
2411.0879,-20.05
2411.0977,-20.08
2411.1074,-19.87
2411.1172,-19.67
2411.1270,-19.70
2411.1367,-19.72
2411.1465,-19.82
2411.1562,-19.92
2411.1660,-19.88
2411.1758,-19.85
2411.1855,-19.90
2411.1953,-19.95
2411.2051,-19.95
2411.2148,-19.95
2411.2246,-19.97
2411.2344,-19.98
2411.2441,-19.83
2411.2539,-19.67
2411.2637,-19.48
2411.2734,-19.29
2411.2832,-19.46
2411.2930,-19.63
2411.3027,-19.44
2411.3125,-19.26
2411.3223,-19.14
2411.3320,-19.02
2411.3418,-19.02
2411.3516,-19.03
2411.3613,-19.06
2411.3711,-19.10
2411.3809,-19.18
2411.3906,-19.26
2411.4004,-19.36
2411.4102,-19.46
