frequency_MHz,psd_dB
935.9580,-57.65
935.9590,-57.77
935.9600,-58.03
935.9609,-58.30
935.9619,-58.37
935.9629,-58.44
935.9639,-58.33
935.9648,-58.22
935.9658,-58.04
935.9668,-57.86
935.9678,-57.94
935.9688,-58.02
935.9697,-58.05
935.9707,-58.07
935.9717,-58.02
935.9727,-57.97
935.9736,-57.89
935.9746,-57.82
935.9756,-57.86
935.9766,-57.91
935.9775,-57.89
935.9785,-57.88
935.9795,-57.75
935.9805,-57.62
935.9814,-57.44
935.9824,-57.25
935.9834,-57.10
935.9844,-56.95
935.9854,-56.90
935.9863,-56.84
935.9873,-56.85
935.9883,-56.86
935.9893,-56.62
935.9902,-56.38
935.9912,-56.32
935.9922,-56.26
935.9932,-55.93
935.9941,-55.60
935.9951,-55.02
935.9961,-54.43
935.9971,-54.05
935.9980,-53.68
935.9990,-55.75
936.0000,-57.82
936.0010,-55.86
936.0020,-53.89
936.0029,-54.21
936.0039,-54.53
936.0049,-54.84
936.0059,-55.15
936.0068,-55.53
936.0078,-55.90
936.0088,-56.18
936.0098,-56.46
936.0107,-56.14
936.0117,-55.83
936.0127,-52.11
936.0137,-48.40
936.0146,-46.95
936.0156,-45.49
936.0166,-47.12
936.0176,-48.74
936.0186,-52.52
936.0195,-56.29
936.0205,-56.84
936.0215,-57.39
936.0225,-57.44
936.0234,-57.49
936.0244,-57.51
936.0254,-57.54
936.0264,-57.56
936.0273,-57.58
936.0283,-57.55
936.0293,-57.52
936.0303,-57.47
936.0312,-57.43
936.0322,-57.51
936.0332,-57.59
936.0342,-57.74
936.0352,-57.88
936.0361,-57.77
936.0371,-57.67
936.0381,-57.49
936.0391,-57.31
936.0400,-57.47
936.0410,-57.64
936.0420,-57.55
936.0430,-57.47
936.0439,-57.47
936.0449,-57.47
936.0459,-57.46
936.0469,-57.45
936.0479,-57.65
936.0488,-57.84
936.0498,-57.88
936.0508,-57.92
936.0518,-57.78
936.0527,-57.65
936.0537,-57.51
936.0547,-57.37
936.0557,-57.60
936.0566,-57.83
936.0576,-57.93
936.0586,-58.04
936.0596,-58.02
936.0605,-58.01
936.0615,-57.97
936.0625,-57.93
936.0635,-58.14
936.0645,-58.35
936.0654,-58.36
936.0664,-58.37
936.0674,-58.31
936.0684,-58.24
936.0693,-58.13
936.0703,-58.02
936.0713,-57.96
936.0723,-57.90
936.0732,-57.95
936.0742,-58.00
936.0752,-58.02
936.0762,-58.04
936.0771,-57.93
936.0781,-57.82
936.0791,-57.87
936.0801,-57.92
936.0811,-57.99
936.0820,-58.05
936.0830,-58.02
936.0840,-57.98
936.0850,-57.69
936.0859,-57.40
936.0869,-57.43
936.0879,-57.45
936.0889,-57.59
936.0898,-57.73
936.0908,-57.81
936.0918,-57.90
936.0928,-57.72
936.0938,-57.55
936.0947,-57.69
936.0957,-57.82
936.0967,-58.14
936.0977,-58.46
936.0986,-58.21
936.0996,-57.96
936.1006,-57.89
936.1016,-57.82
936.1025,-57.88
936.1035,-57.93
936.1045,-58.09
936.1055,-58.24
936.1064,-58.32
936.1074,-58.40
936.1084,-58.37
936.1094,-58.34
936.1104,-58.39
936.1113,-58.44
936.1123,-58.46
936.1133,-58.47
936.1143,-58.40
936.1152,-58.33
936.1162,-58.17
936.1172,-58.01
936.1182,-57.92
936.1191,-57.84
936.1201,-58.01
936.1211,-58.19
936.1221,-58.34
936.1230,-58.49
936.1240,-58.42
936.1250,-58.35
936.1260,-58.11
936.1270,-57.88
936.1279,-57.95
936.1289,-58.03
936.1299,-58.06
936.1309,-58.10
936.1318,-58.01
936.1328,-57.92
936.1338,-57.84
936.1348,-57.76
936.1357,-57.90
936.1367,-58.05
936.1377,-58.18
936.1387,-58.31
936.1396,-58.25
936.1406,-58.19
936.1416,-57.72
936.1426,-57.25
936.1436,-57.69
936.1445,-58.13
936.1455,-58.19
936.1465,-58.25
936.1475,-58.09
936.1484,-57.94
936.1494,-58.09
936.1504,-58.25
936.1514,-58.40
936.1523,-58.55
936.1533,-58.69
936.1543,-58.83
936.1553,-58.81
936.1562,-58.78
936.1572,-58.70
936.1582,-58.62
936.1592,-58.59
936.1602,-58.55
936.1611,-58.54
936.1621,-58.54
936.1631,-58.48
936.1641,-58.43
936.1650,-58.27
936.1660,-58.10
936.1670,-58.19
936.1680,-58.28
936.1689,-58.48
936.1699,-58.68
936.1709,-58.74
936.1719,-58.80
936.1729,-58.36
936.1738,-57.93
936.1748,-57.79
936.1758,-57.66
936.1768,-57.90
936.1777,-58.14
936.1787,-58.21
936.1797,-58.29
936.1807,-58.18
936.1816,-58.06
936.1826,-58.19
936.1836,-58.31
936.1846,-58.53
936.1855,-58.75
936.1865,-58.78
936.1875,-58.81
936.1885,-58.49
936.1895,-58.16
936.1904,-57.99
936.1914,-57.83
936.1924,-58.15
936.1934,-58.46
936.1943,-58.35
936.1953,-58.24
936.1963,-58.25
936.1973,-58.25
936.1982,-58.43
936.1992,-58.60
936.2002,-58.82
936.2012,-59.04
936.2021,-59.07
936.2031,-59.10
936.2041,-58.93
936.2051,-58.75
936.2061,-58.66
936.2070,-58.56
936.2080,-58.62
936.2090,-58.68
936.2100,-58.71
936.2109,-58.74
936.2119,-58.68
936.2129,-58.62
936.2139,-58.45
936.2148,-58.28
936.2158,-58.59
936.2168,-58.89
936.2178,-58.87
936.2188,-58.84
936.2197,-58.64
936.2207,-58.43
936.2217,-58.06
936.2227,-57.68
936.2236,-57.81
936.2246,-57.94
936.2256,-58.17
936.2266,-58.41
936.2275,-58.42
936.2285,-58.44
936.2295,-58.13
936.2305,-57.82
936.2314,-58.20
936.2324,-58.57
936.2334,-58.77
936.2344,-58.97
936.2354,-58.86
936.2363,-58.76
936.2373,-58.56
936.2383,-58.37
936.2393,-58.44
936.2402,-58.51
936.2412,-58.53
936.2422,-58.56
936.2432,-58.61
936.2441,-58.67
936.2451,-58.71
936.2461,-58.74
936.2471,-58.87
936.2480,-59.00
936.2490,-59.04
936.2500,-59.08
936.2510,-58.99
936.2520,-58.90
936.2529,-58.72
936.2539,-58.54
936.2549,-58.61
936.2559,-58.67
936.2568,-58.90
936.2578,-59.13
936.2588,-59.21
936.2598,-59.29
936.2607,-58.85
936.2617,-58.41
936.2627,-58.36
936.2637,-58.32
936.2646,-58.55
936.2656,-58.78
936.2666,-58.71
936.2676,-58.64
936.2686,-58.48
936.2695,-58.32
936.2705,-58.22
936.2715,-58.13
936.2725,-58.42
936.2734,-58.72
936.2744,-58.92
936.2754,-59.12
936.2764,-58.75
936.2773,-58.37
936.2783,-58.14
936.2793,-57.91
936.2803,-58.39
936.2812,-58.88
936.2822,-58.91
936.2832,-58.95
936.2842,-58.89
936.2852,-58.83
936.2861,-58.87
936.2871,-58.92
936.2881,-58.98
936.2891,-59.04
936.2900,-58.90
936.2910,-58.77
936.2920,-58.90
936.2930,-59.03
936.2939,-58.99
936.2949,-58.96
936.2959,-58.95
936.2969,-58.95
936.2979,-58.94
936.2988,-58.94
936.2998,-58.85
936.3008,-58.77
936.3018,-58.58
936.3027,-58.40
936.3037,-58.65
936.3047,-58.90
936.3057,-59.03
936.3066,-59.17
936.3076,-58.91
936.3086,-58.65
936.3096,-58.25
936.3105,-57.85
936.3115,-58.11
936.3125,-58.37
936.3135,-58.47
936.3145,-58.57
936.3154,-58.60
936.3164,-58.64
936.3174,-58.48
936.3184,-58.33
936.3193,-58.47
936.3203,-58.61
936.3213,-58.85
936.3223,-59.10
936.3232,-59.01
936.3242,-58.91
936.3252,-58.49
936.3262,-58.06
936.3271,-58.20
936.3281,-58.33
936.3291,-58.54
936.3301,-58.75
936.3311,-58.81
936.3320,-58.87
936.3330,-58.75
936.3340,-58.64
936.3350,-58.75
936.3359,-58.85
936.3369,-58.76
936.3379,-58.66
936.3389,-58.64
936.3398,-58.61
936.3408,-58.60
936.3418,-58.59
936.3428,-58.61
936.3438,-58.63
936.3447,-58.74
936.3457,-58.86
936.3467,-58.87
936.3477,-58.89
936.3486,-58.79
936.3496,-58.69
936.3506,-58.61
936.3516,-58.53
936.3525,-58.67
936.3535,-58.81
936.3545,-58.67
936.3555,-58.54
936.3564,-58.27
936.3574,-58.00
936.3584,-57.98
936.3594,-57.97
936.3604,-58.30
936.3613,-58.63
936.3623,-58.69
936.3633,-58.76
936.3643,-58.43
936.3652,-58.11
936.3662,-57.90
936.3672,-57.69
936.3682,-58.25
936.3691,-58.82
936.3701,-58.82
936.3711,-58.83
936.3721,-58.70
936.3730,-58.58
936.3740,-58.48
